"id","hexID","X152","X153","X154","X155","X156","X157","rel_152","rel_153","rel_154","rel_155","rel_156","rel_157","relMax","absMax","maxLevel","total","antwort"
"ID153","ID153",153,0,2,20,0,10,0,0,0.0625,0.625,0,0.3125,0,0.625,20,"154",32,"Geldtasche/-tasch(er)l"
"ID154","ID154",154,1,1,18,0,14,0,0.0294117647058824,0.0294117647058824,0.529411764705882,0,0.411764705882353,0,0.529411764705882,18,"154",34,"Geldtasche/-tasch(er)l"
"ID155","ID155",155,0,0,2,0,36,0,0,0,0.0526315789473684,0,0.947368421052632,0,0.947368421052632,36,"156",38,"Brieftasche/Briaftoschn"
"ID156","ID156",156,1,1,3,2,43,0,0.02,0.02,0.06,0.04,0.86,0,0.86,43,"156",50,"Brieftasche/Briaftoschn"
"ID157","ID157",157,0,0,2,1,30,0,0,0,0.0606060606060606,0.0303030303030303,0.909090909090909,0,0.909090909090909,30,"156",33,"Brieftasche/Briaftoschn"
"ID158","ID158",158,2,1,24,3,166,0,0.0102040816326531,0.00510204081632653,0.122448979591837,0.0153061224489796,0.846938775510204,0,0.846938775510204,166,"156",196,"Brieftasche/Briaftoschn"
"ID159","ID159",159,1,1,13,5,103,0,0.00813008130081301,0.00813008130081301,0.105691056910569,0.040650406504065,0.83739837398374,0,0.83739837398374,103,"156",123,"Brieftasche/Briaftoschn"
"ID160","ID160",160,3,0,10,1,58,0,0.0416666666666667,0,0.138888888888889,0.0138888888888889,0.805555555555556,0,0.805555555555556,58,"156",72,"Brieftasche/Briaftoschn"
"ID161","ID161",161,3,1,12,1,126,1,0.0208333333333333,0.00694444444444444,0.0833333333333333,0.00694444444444444,0.875,0.00694444444444444,0.875,126,"156",144,"Brieftasche/Briaftoschn"
"ID162","ID162",162,3,0,23,3,92,1,0.0245901639344262,0,0.188524590163934,0.0245901639344262,0.754098360655738,0.00819672131147541,0.754098360655738,92,"156",122,"Brieftasche/Briaftoschn"
"ID163","ID163",163,2,0,19,7,173,0,0.00995024875621891,0,0.0945273631840796,0.0348258706467662,0.860696517412935,0,0.860696517412935,173,"156",201,"Brieftasche/Briaftoschn"
"ID164","ID164",164,0,0,4,0,44,0,0,0,0.0833333333333333,0,0.916666666666667,0,0.916666666666667,44,"156",48,"Brieftasche/Briaftoschn"
"ID165","ID165",165,0,0,8,1,39,0,0,0,0.166666666666667,0.0208333333333333,0.8125,0,0.8125,39,"156",48,"Brieftasche/Briaftoschn"
"ID166","ID166",166,1,0,15,0,71,0,0.0114942528735632,0,0.172413793103448,0,0.816091954022989,0,0.816091954022989,71,"156",87,"Brieftasche/Briaftoschn"
"ID167","ID167",167,1,0,7,0,6,0,0.0714285714285714,0,0.5,0,0.428571428571429,0,0.5,7,"154",14,"Geldtasche/-tasch(er)l"
"ID168","ID168",168,1,0,79,1,23,0,0.00961538461538462,0,0.759615384615385,0.00961538461538462,0.221153846153846,0,0.759615384615385,79,"154",104,"Geldtasche/-tasch(er)l"
"ID169","ID169",169,0,0,47,2,11,0,0,0,0.783333333333333,0.0333333333333333,0.183333333333333,0,0.783333333333333,47,"154",60,"Geldtasche/-tasch(er)l"
"ID170","ID170",170,0,0,122,7,37,0,0,0,0.734939759036145,0.0421686746987952,0.22289156626506,0,0.734939759036145,122,"154",166,"Geldtasche/-tasch(er)l"
"ID171","ID171",171,0,0,7,0,2,0,0,0,0.777777777777778,0,0.222222222222222,0,0.777777777777778,7,"154",9,"Geldtasche/-tasch(er)l"
"ID172","ID172",172,0,0,14,2,7,1,0,0,0.583333333333333,0.0833333333333333,0.291666666666667,0.0416666666666667,0.583333333333333,14,"154",24,"Geldtasche/-tasch(er)l"
"ID173","ID173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID174","ID174",174,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"153",1,"Geldbeutel"
"ID175","ID175",175,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID176","ID176",176,3,0,0,0,0,0,1,0,0,0,0,0,1,3,"152",3,"Portemonnaie/Portmonee"
"ID177","ID177",177,167,2,0,0,1,14,0.907608695652174,0.0108695652173913,0,0,0.00543478260869565,0.0760869565217391,0.907608695652174,167,"152",184,"Portemonnaie/Portmonee"
"ID178","ID178",178,372,2,0,0,0,14,0.958762886597938,0.00515463917525773,0,0,0,0.0360824742268041,0.958762886597938,372,"152",388,"Portemonnaie/Portmonee"
"ID179","ID179",179,815,7,0,1,1,22,0.963356973995272,0.008274231678487,0,0.00118203309692671,0.00118203309692671,0.0260047281323877,0.963356973995272,815,"152",846,"Portemonnaie/Portmonee"
"ID180","ID180",180,168,2,0,0,0,11,0.92817679558011,0.0110497237569061,0,0,0,0.0607734806629834,0.92817679558011,168,"152",181,"Portemonnaie/Portmonee"
"ID181","ID181",181,72,1,0,0,2,7,0.878048780487805,0.0121951219512195,0,0,0.024390243902439,0.0853658536585366,0.878048780487805,72,"152",82,"Portemonnaie/Portmonee"
"ID182","ID182",182,44,1,1,0,0,12,0.758620689655172,0.0172413793103448,0.0172413793103448,0,0,0.206896551724138,0.758620689655172,44,"152",58,"Portemonnaie/Portmonee"
"ID183","ID183",183,57,1,0,0,0,14,0.791666666666667,0.0138888888888889,0,0,0,0.194444444444444,0.791666666666667,57,"152",72,"Portemonnaie/Portmonee"
